length,emoji_count,hashtag_count,exclamation_count,question_count,capitalized_word_count,sentence_count,avg_word_length,verb_count,noun_count,adjective_count,entity_count,has_numerical_list,word_count,buzzword_count,buzzword_ratio,humble_brag_count,personal_pronouns,motivation_score,excessive_punctuation,has_call_to_action,starts_with_number,contains_money_reference,sentiment_polarity,sentiment_subjectivity,is_extemely_positive,cringe_score
603,1,0,0,0,0,21,3.6371681415929205,10,29,8,16,0,151,0,0.0,0,7,0,0,0,0,1,0.11571428571428573,0.3188095238095238,0,5
1260,1,0,2,1,0,25,3.9956896551724137,30,46,10,13,0,279,0,0.0,0,17,1,0,1,0,1,0.08664335664335665,0.3215384615384615,0,178
82,0,0,0,0,0,3,5.083333333333333,2,3,1,0,0,14,0,0.0,0,0,0,0,0,0,0,0.35,0.6,0,24
697,3,0,1,1,0,10,4.0,16,30,4,12,0,159,0,0.0,0,8,0,0,1,0,1,0.15357142857142855,0.43809523809523815,0,43
698,1,0,1,0,1,16,4.140495867768595,15,39,13,5,0,158,0,0.0,0,1,0,0,1,0,1,0.15166666666666664,0.4276719576719577,0,41
1243,1,0,2,3,0,18,4.776699029126213,24,56,21,12,0,230,0,0.0,0,5,0,0,1,0,1,-0.006596774193548384,0.5164623655913978,0,1
414,1,0,0,0,0,5,4.983870967741935,11,18,9,5,0,77,0,0.0,0,0,0,0,1,1,1,0.4416666666666667,0.5250000000000001,0,0
288,4,0,0,0,0,3,3.3962264150943398,7,15,2,10,0,77,0,0.0,0,4,0,0,1,1,1,0.21666666666666667,0.4666666666666666,0,548
1291,1,0,0,0,1,19,4.5565610859728505,22,47,35,14,0,253,0,0.0,0,3,0,0,1,0,1,0.11355855855855856,0.451006006006006,0,20
2207,1,0,2,0,0,22,4.435897435897436,58,99,34,23,0,430,0,0.0,0,14,0,0,1,0,1,0.03184158184158183,0.4564067314067314,0,0
547,2,0,0,0,0,13,4.689655172413793,12,16,10,6,0,111,0,0.0,0,3,0,0,0,0,1,0.2308539944903581,0.5129476584022039,0,281
99,0,0,0,0,0,2,5.384615384615385,3,2,1,1,0,17,0,0.0,0,0,0,0,0,0,1,0.0,0.6666666666666666,0,9634
708,1,0,0,1,0,21,4.221238938053097,20,35,7,13,0,162,0,0.0,0,1,0,0,1,0,1,0.2791666666666667,0.4541666666666667,0,12
899,1,0,4,0,0,14,3.919254658385093,24,38,13,11,0,203,0,0.0,0,15,0,0,0,0,1,0.16966540404040403,0.5185786435786435,0,84
520,1,0,0,0,0,4,4.2,11,25,4,6,0,112,0,0.0,0,0,0,0,1,0,1,0.02033730158730158,0.33769841269841266,0,142
613,0,0,0,2,0,17,4.824742268041237,16,33,12,8,0,121,0,0.0,0,0,0,0,1,0,1,0.04051948051948052,0.6068831168831168,0,2
1268,1,0,0,4,0,19,4.666666666666667,32,50,18,4,0,240,0,0.0,0,1,0,0,1,0,0,0.35303030303030297,0.5750000000000001,0,3
921,1,0,0,0,0,15,4.653846153846154,19,22,14,4,0,176,0,0.0,0,1,0,0,1,0,1,0.15672619047619046,0.5655357142857143,0,17
662,1,0,0,0,0,3,4.6138613861386135,17,30,6,9,0,122,0,0.0,0,1,0,0,1,0,1,0.15,0.4592592592592592,0,782
1071,1,0,0,1,0,8,5.273291925465839,26,52,11,10,0,183,0,0.0,0,2,0,0,0,1,1,0.12738636363636363,0.4254545454545455,0,2
1139,1,0,0,0,0,15,4.46,37,37,9,1,0,220,0,0.0,0,5,1,0,1,0,0,0.004616477272727269,0.3838778409090909,0,15
74,0,0,0,0,0,1,4.214285714285714,5,3,0,1,0,15,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,117
281,4,0,1,0,0,5,4.03921568627451,6,16,2,3,0,61,0,0.0,0,0,0,0,1,0,1,0.5625,0.55,0,208
916,1,0,6,1,0,19,4.251612903225807,27,44,10,16,0,196,0,0.0,0,7,0,0,0,0,1,0.052426609848484844,0.4115530303030303,0,3
278,1,0,0,0,0,7,4.3,13,12,3,2,0,57,0,0.0,0,0,0,0,0,0,0,0.05,0.45,0,5174
1250,1,0,1,2,0,18,4.751243781094527,34,56,15,16,0,243,0,0.0,0,10,0,0,1,1,1,0.06601080246913581,0.5442901234567901,0,94
750,1,0,0,0,0,10,4.420634920634921,20,29,11,5,0,152,0,0.0,0,0,0,0,1,0,1,-0.18928571428571428,0.6794642857142857,0,95
270,2,0,0,0,0,10,4.523809523809524,2,15,5,6,0,60,0,0.0,0,0,0,0,1,0,1,0.15,0.37222222222222223,0,25
545,0,0,0,0,0,2,3.3252032520325203,18,29,8,4,0,127,0,0.0,0,1,0,0,0,0,1,0.07679063360881543,0.5350091827364555,0,1
432,3,0,0,0,0,11,4.428571428571429,10,28,2,7,0,99,0,0.0,0,5,0,0,1,0,1,0.36818181818181817,0.7272727272727273,0,7
1061,2,0,0,0,0,9,4.634831460674158,33,41,14,10,0,201,0,0.0,0,1,0,0,1,0,1,0.26313775510204085,0.6428571428571429,0,24
778,1,0,0,0,0,9,4.7936507936507935,19,33,14,7,0,146,0,0.0,0,3,0,0,1,0,1,0.24974489795918367,0.527125850340136,0,17
1524,3,0,3,5,0,22,5.080851063829787,31,70,25,20,0,279,0,0.0,0,6,0,0,1,1,1,0.11062121212121215,0.4258008658008658,0,23
100,1,0,0,0,0,4,4.666666666666667,1,4,2,2,0,22,0,0.0,0,1,0,0,1,0,0,0.3,0.4083333333333334,0,67
509,0,0,0,2,0,6,4.413793103448276,8,15,7,13,0,102,0,0.0,0,2,0,0,1,1,1,0.06458333333333335,0.47874999999999995,0,138
1099,1,0,0,3,0,20,4.457894736842105,30,44,13,3,0,219,0,0.0,0,5,0,0,1,0,0,0.14232026143790852,0.45179738562091504,0,8
2241,0,0,1,0,0,26,4.692934782608695,39,84,37,30,0,422,0,0.0,0,5,0,0,1,0,1,0.06932225913621261,0.4828981173864895,0,0
1410,2,0,0,0,0,16,4.412244897959184,46,47,15,7,0,281,0,0.0,0,4,0,0,1,0,1,0.06958874458874459,0.44347041847041846,0,6
516,1,0,1,0,0,2,4.322222222222222,15,25,7,5,0,103,0,0.0,0,2,0,0,1,0,1,0.35714285714285715,0.5000000000000001,0,27
420,1,0,0,0,0,6,5.540983606557377,9,22,8,3,0,69,0,0.0,0,0,0,0,0,0,1,0.11000000000000001,0.43,0,17
346,1,0,0,0,0,7,4.365384615384615,7,23,3,9,0,77,0,0.0,0,3,0,0,1,0,1,0.36818181818181817,0.7272727272727273,0,26
1288,1,0,0,1,0,11,4.544642857142857,25,51,22,11,0,245,0,0.0,0,7,1,0,1,0,1,-0.0004062736205593334,0.5568877551020408,0,103
